taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
75000,0,1,CountingSort,225001,0,0,3184595
75000,0,1,QuickSort,4912618,2219011,847935,15727980
75000,0,1,InsertionSort,224997,74999,0,5378132
75000,0,1,BubbleSort,149998,74999,0,3933067
75000,0,1,MergeSort,2437856,624316,0,13342026
75000,0,2,CountingSort,225001,0,0,3264905
75000,0,2,QuickSort,5157611,2298620,902878,18954876
75000,0,2,InsertionSort,224997,74999,0,5256693
75000,0,2,BubbleSort,149998,74999,0,3797319
75000,0,2,MergeSort,2437856,624316,0,14460454
75000,0,3,CountingSort,225001,0,0,3352373
75000,0,3,QuickSort,4893021,2258973,828014,15431894
75000,0,3,InsertionSort,224997,74999,0,5344632
75000,0,3,BubbleSort,149998,74999,0,3910378
75000,0,3,MergeSort,2437856,624316,0,14052469
75000,0,4,CountingSort,225001,0,0,3339074
75000,0,4,QuickSort,4864426,2182927,843799,15808999
75000,0,4,InsertionSort,224997,74999,0,5415962
75000,0,4,BubbleSort,149998,74999,0,3655331
75000,0,4,MergeSort,2437856,624316,0,14149587
75000,15,1,CountingSort,225001,0,0,3149286
75000,15,1,QuickSort,4603371,2115963,779094,23071021
75000,15,1,InsertionSort,1360307601,453435867,0,400115667
75000,15,1,BubbleSort,7437245932,2811901230,453360868,4108350186
75000,15,1,MergeSort,2437856,1095719,0,16579816
75000,15,2,CountingSort,225001,0,0,3273065
75000,15,2,QuickSort,4923154,2228182,848340,22160267
75000,15,2,InsertionSort,86692700,28897564,0,35157421
75000,15,2,BubbleSort,1637876826,761293275,28822569,1347498311
75000,15,2,MergeSort,2437856,681364,0,14486109
75000,15,3,CountingSort,225001,0,0,3304386
75000,15,3,QuickSort,4674302,2168720,785197,21081721
75000,15,3,InsertionSort,86251218,28750406,0,29042718
75000,15,3,BubbleSort,1671419322,778358847,28675407,838193133
75000,15,3,MergeSort,2437856,685561,0,13934585
75000,15,4,CountingSort,225001,0,0,3317906
75000,15,4,QuickSort,4863535,2195881,839314,27064329
75000,15,4,InsertionSort,85792422,28597474,0,34932358
75000,15,4,BubbleSort,1651394610,768652355,28522475,857151836
75000,15,4,MergeSort,2437856,689836,0,15358691
75000,25,1,CountingSort,225001,0,0,3136167
75000,25,1,QuickSort,5042471,2264750,875876,18834945
75000,25,1,InsertionSort,1991024433,663674811,0,582735729
75000,25,1,BubbleSort,8278707238,2812153995,663599812,4536547163
75000,25,1,MergeSort,2437856,1108642,0,16639234
75000,25,2,CountingSort,225001,0,0,3226558
75000,25,2,QuickSort,4986773,2264510,857466,22943512
75000,25,2,InsertionSort,239530540,79843512,0,79944173
75000,25,2,BubbleSort,2768282098,1224604019,79768515,1480805170
75000,25,2,MergeSort,2437856,729556,0,15074521
75000,25,3,CountingSort,225001,0,0,3300437
75000,25,3,QuickSort,4731868,2152684,809599,22845274
75000,25,3,InsertionSort,238687329,79562443,0,64653479
75000,25,3,BubbleSort,2772002366,1227026295,79487444,1346743448
75000,25,3,MergeSort,2437856,729613,0,14280460
75000,25,4,CountingSort,225001,0,0,4246569
