taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100000;0;1;BubbleSort;199998;99999;0;4356075
100000;0;1;BubbleSort;199998;99999;0;3064504
100000;0;1;BubbleSort;199998;99999;0;1226672
100000;0;1;BubbleSort;199998;99999;0;284610
100000;0;1;BubbleSort;199998;99999;0;37360
100000;0;1;BubbleSort;199998;99999;0;57850
100000;0;1;BubbleSort;199998;99999;0;50080
100000;0;1;BubbleSort;199998;99999;0;37290
100000;0;1;BubbleSort;199998;99999;0;88971
100000;0;1;BubbleSort;199998;99999;0;41440
100000;0;1;BubbleSort;199998;99999;0;57910
100000;0;1;BubbleSort;199998;99999;0;103500
100000;0;1;BubbleSort;199998;99999;0;36970
100000;0;1;BubbleSort;199998;99999;0;71230
100000;0;1;BubbleSort;199998;99999;0;50080
100000;0;1;BubbleSort;199998;99999;0;36490
100000;0;1;BubbleSort;199998;99999;0;354471
100000;0;1;BubbleSort;199998;99999;0;42200
100000;0;1;BubbleSort;199998;99999;0;76010
100000;0;1;BubbleSort;199998;99999;0;41420
100000;0;1;BubbleSort;199998;99999;0;41930
100000;0;1;BubbleSort;199998;99999;0;137581
100000;0;1;BubbleSort;199998;99999;0;41460
100000;0;1;BubbleSort;199998;99999;0;75381
100000;0;1;BubbleSort;199998;99999;0;35980
100000;0;1;BubbleSort;199998;99999;0;36260
100000;0;1;BubbleSort;199998;99999;0;164601
100000;0;1;BubbleSort;199998;99999;0;43190
100000;0;1;BubbleSort;199998;99999;0;70450
100000;0;1;BubbleSort;199998;99999;0;31850
100000;0;1;BubbleSort;199998;99999;0;53280
100000;0;1;BubbleSort;199998;99999;0;65451
100000;0;1;BubbleSort;199998;99999;0;52370
100000;0;1;BubbleSort;199998;99999;0;35040
100000;0;1;BubbleSort;199998;99999;0;34920
100000;0;1;BubbleSort;199998;99999;0;364461
100000;0;1;BubbleSort;199998;99999;0;47030
100000;0;1;BubbleSort;199998;99999;0;86610
100000;0;1;BubbleSort;199998;99999;0;28430
100000;0;1;BubbleSort;199998;99999;0;35310
100000;0;1;BubbleSort;199998;99999;0;417031
100000;0;1;BubbleSort;199998;99999;0;36530
100000;0;1;BubbleSort;199998;99999;0;82020
100000;0;1;BubbleSort;199998;99999;0;50580
100000;0;1;BubbleSort;199998;99999;0;35640
100000;0;1;BubbleSort;199998;99999;0;458061
100000;0;1;BubbleSort;199998;99999;0;37190
100000;0;1;BubbleSort;199998;99999;0;75960
100000;0;1;BubbleSort;199998;99999;0;38330
100000;0;1;BubbleSort;199998;99999;0;35670
100000;0;1;BubbleSort;199998;99999;0;34030
100000;0;1;BubbleSort;199998;99999;0;57141
100000;0;1;BubbleSort;199998;99999;0;40180
100000;0;1;BubbleSort;199998;99999;0;35650
100000;0;1;BubbleSort;199998;99999;0;34800
100000;0;1;BubbleSort;199998;99999;0;354551
100000;0;1;BubbleSort;199998;99999;0;47020
100000;0;1;BubbleSort;199998;99999;0;76300
100000;0;1;BubbleSort;199998;99999;0;45870
100000;0;1;BubbleSort;199998;99999;0;37680
100000;0;1;BubbleSort;199998;99999;0;392991
100000;0;1;BubbleSort;199998;99999;0;37090
100000;0;1;BubbleSort;199998;99999;0;73600
100000;0;1;BubbleSort;199998;99999;0;41530
100000;0;1;BubbleSort;199998;99999;0;37860
100000;0;1;BubbleSort;199998;99999;0;201910
100000;0;1;BubbleSort;199998;99999;0;39091
100000;0;1;BubbleSort;199998;99999;0;75400
100000;0;1;BubbleSort;199998;99999;0;47210
100000;0;1;BubbleSort;199998;99999;0;40560
100000;0;1;BubbleSort;199998;99999;0;305350
100000;0;1;BubbleSort;199998;99999;0;38810
100000;0;1;BubbleSort;199998;99999;0;84100
100000;0;1;BubbleSort;199998;99999;0;414351
100000;0;1;BubbleSort;199998;99999;0;39420
100000;0;1;BubbleSort;199998;99999;0;59210
100000;0;1;BubbleSort;199998;99999;0;31840
100000;0;1;BubbleSort;199998;99999;0;62980
100000;0;1;BubbleSort;199998;99999;0;56650
100000;0;1;BubbleSort;199998;99999;0;52570
100000;0;1;BubbleSort;199998;99999;0;36830
100000;0;1;BubbleSort;199998;99999;0;296300
100000;0;1;BubbleSort;199998;99999;0;28610
100000;0;1;BubbleSort;199998;99999;0;82230
100000;0;1;BubbleSort;199998;99999;0;39620
100000;0;1;BubbleSort;199998;99999;0;37000
100000;0;1;BubbleSort;199998;99999;0;181600
100000;0;1;BubbleSort;199998;99999;0;37020
100000;0;1;BubbleSort;199998;99999;0;76170
100000;0;1;BubbleSort;199998;99999;0;46340
100000;0;1;BubbleSort;199998;99999;0;35600
100000;0;1;BubbleSort;199998;99999;0;317390
100000;0;1;BubbleSort;199998;99999;0;47590
100000;0;1;BubbleSort;199998;99999;0;744151
100000;0;1;BubbleSort;199998;99999;0;80370
100000;0;1;BubbleSort;199998;99999;0;55230
100000;0;1;BubbleSort;199998;99999;0;36820
100000;0;1;BubbleSort;199998;99999;0;336031
100000;0;1;BubbleSort;199998;99999;0;32610
100000;0;1;BubbleSort;199998;99999;0;74610
100000;0;2;BubbleSort;199998;99999;0;3958636
100000;0;2;BubbleSort;199998;99999;0;1735352
100000;0;2;BubbleSort;199998;99999;0;226590
100000;0;2;BubbleSort;199998;99999;0;295621
100000;0;2;BubbleSort;199998;99999;0;47830
100000;0;2;BubbleSort;199998;99999;0;28470
100000;0;2;BubbleSort;199998;99999;0;35360
100000;0;2;BubbleSort;199998;99999;0;29190
100000;0;2;BubbleSort;199998;99999;0;34750
100000;0;2;BubbleSort;199998;99999;0;36060
100000;0;2;BubbleSort;199998;99999;0;177500
100000;0;2;BubbleSort;199998;99999;0;176771
100000;0;2;BubbleSort;199998;99999;0;199940
100000;0;2;BubbleSort;199998;99999;0;274190
100000;0;2;BubbleSort;199998;99999;0;281181
100000;0;2;BubbleSort;199998;99999;0;222550
100000;0;2;BubbleSort;199998;99999;0;315671
100000;0;2;BubbleSort;199998;99999;0;109450
100000;0;2;BubbleSort;199998;99999;0;186390
100000;0;2;BubbleSort;199998;99999;0;180201
100000;0;2;BubbleSort;199998;99999;0;166091
100000;0;2;BubbleSort;199998;99999;0;151630
100000;0;2;BubbleSort;199998;99999;0;155831
100000;0;2;BubbleSort;199998;99999;0;98070
100000;0;2;BubbleSort;199998;99999;0;66770
100000;0;2;BubbleSort;199998;99999;0;114351
100000;0;2;BubbleSort;199998;99999;0;159850
100000;0;2;BubbleSort;199998;99999;0;147280
100000;0;2;BubbleSort;199998;99999;0;153110
100000;0;2;BubbleSort;199998;99999;0;128640
100000;0;2;BubbleSort;199998;99999;0;54790
100000;0;2;BubbleSort;199998;99999;0;48430
100000;0;2;BubbleSort;199998;99999;0;204910
100000;0;2;BubbleSort;199998;99999;0;246681
100000;0;2;BubbleSort;199998;99999;0;413671
100000;0;2;BubbleSort;199998;99999;0;336390
100000;0;2;BubbleSort;199998;99999;0;251250
100000;0;2;BubbleSort;199998;99999;0;340570
100000;0;2;BubbleSort;199998;99999;0;391111
100000;0;2;BubbleSort;199998;99999;0;66440
100000;0;2;BubbleSort;199998;99999;0;319180
100000;0;2;BubbleSort;199998;99999;0;126700
100000;0;2;BubbleSort;199998;99999;0;174111
100000;0;2;BubbleSort;199998;99999;0;263640
100000;0;2;BubbleSort;199998;99999;0;278540
100000;0;2;BubbleSort;199998;99999;0;233450
100000;0;2;BubbleSort;199998;99999;0;334170
100000;0;2;BubbleSort;199998;99999;0;171640
100000;0;2;BubbleSort;199998;99999;0;92420
100000;0;2;BubbleSort;199998;99999;0;72410
100000;0;2;BubbleSort;199998;99999;0;115700
100000;0;2;BubbleSort;199998;99999;0;66920
100000;0;2;BubbleSort;199998;99999;0;56890
100000;0;2;BubbleSort;199998;99999;0;402640
100000;0;2;BubbleSort;199998;99999;0;423551
100000;0;2;BubbleSort;199998;99999;0;112750
100000;0;2;BubbleSort;199998;99999;0;327461
100000;0;2;BubbleSort;199998;99999;0;290790
100000;0;2;BubbleSort;199998;99999;0;191900
100000;0;2;BubbleSort;199998;99999;0;366000
100000;0;2;BubbleSort;199998;99999;0;368111
100000;0;2;BubbleSort;199998;99999;0;311440
100000;0;2;BubbleSort;199998;99999;0;329680
100000;0;2;BubbleSort;199998;99999;0;175610
100000;0;2;BubbleSort;199998;99999;0;389121
100000;0;2;BubbleSort;199998;99999;0;300931
100000;0;2;BubbleSort;199998;99999;0;330920
100000;0;2;BubbleSort;199998;99999;0;189870
100000;0;2;BubbleSort;199998;99999;0;37060
100000;0;2;BubbleSort;199998;99999;0;28180
100000;0;2;BubbleSort;199998;99999;0;48070
100000;0;2;BubbleSort;199998;99999;0;37320
100000;0;2;BubbleSort;199998;99999;0;36550
100000;0;2;BubbleSort;199998;99999;0;35490
100000;0;2;BubbleSort;199998;99999;0;42450
100000;0;2;BubbleSort;199998;99999;0;36330
100000;0;2;BubbleSort;199998;99999;0;39310
100000;0;2;BubbleSort;199998;99999;0;37620
100000;0;2;BubbleSort;199998;99999;0;40060
100000;0;2;BubbleSort;199998;99999;0;39500
100000;0;2;BubbleSort;199998;99999;0;37180
100000;0;2;BubbleSort;199998;99999;0;41670
100000;0;2;BubbleSort;199998;99999;0;37240
100000;0;2;BubbleSort;199998;99999;0;28180
100000;0;2;BubbleSort;199998;99999;0;36730
100000;0;2;BubbleSort;199998;99999;0;28380
100000;0;2;BubbleSort;199998;99999;0;54560
100000;0;2;BubbleSort;199998;99999;0;36750
100000;0;2;BubbleSort;199998;99999;0;37170
100000;0;2;BubbleSort;199998;99999;0;37150
100000;0;2;BubbleSort;199998;99999;0;44460
100000;0;2;BubbleSort;199998;99999;0;41320
100000;0;2;BubbleSort;199998;99999;0;37100
100000;0;2;BubbleSort;199998;99999;0;35950
100000;0;2;BubbleSort;199998;99999;0;76070
100000;0;2;BubbleSort;199998;99999;0;65240
100000;0;2;BubbleSort;199998;99999;0;62560
100000;0;2;BubbleSort;199998;99999;0;50070
100000;0;2;BubbleSort;199998;99999;0;50920
100000;0;2;BubbleSort;199998;99999;0;57920
100000;0;3;BubbleSort;199998;99999;0;4278635
100000;0;3;BubbleSort;199998;99999;0;1291592
100000;0;3;BubbleSort;199998;99999;0;259361
100000;0;3;BubbleSort;199998;99999;0;57170
100000;0;3;BubbleSort;199998;99999;0;29910
100000;0;3;BubbleSort;199998;99999;0;42520
100000;0;3;BubbleSort;199998;99999;0;53250
100000;0;3;BubbleSort;199998;99999;0;36220
