taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100000;0;1;CountingSort;300001;0;0;4241425
100000;0;1;CountingSort;300001;0;0;1843043
100000;0;1;CountingSort;300001;0;0;3488234
100000;0;1;CountingSort;300001;0;0;677251
100000;0;1;CountingSort;300001;0;0;3055054
100000;0;1;CountingSort;300001;0;0;572361
100000;0;1;CountingSort;300001;0;0;3459425
100000;0;1;CountingSort;300001;0;0;569521
100000;0;1;CountingSort;300001;0;0;639941
100000;0;1;CountingSort;300001;0;0;1415462
100000;0;1;CountingSort;300001;0;0;334041
100000;0;1;CountingSort;300001;0;0;412931
100000;0;1;CountingSort;300001;0;0;2652944
100000;0;1;CountingSort;300001;0;0;465331
100000;0;1;CountingSort;300001;0;0;2721053
100000;0;1;CountingSort;300001;0;0;411151
100000;0;1;CountingSort;300001;0;0;353931
100000;0;1;CountingSort;300001;0;0;3211754
100000;0;1;CountingSort;300001;0;0;571810
100000;0;1;CountingSort;300001;0;0;3377625
100000;0;1;CountingSort;300001;0;0;631841
100000;0;1;CountingSort;300001;0;0;474451
100000;0;1;CountingSort;300001;0;0;2755864
100000;0;1;CountingSort;300001;0;0;562781
100000;0;1;CountingSort;300001;0;0;2386852
100000;0;1;CountingSort;300001;0;0;564840
100000;0;1;CountingSort;300001;0;0;584731
100000;0;1;CountingSort;300001;0;0;3286225
100000;0;1;CountingSort;300001;0;0;658931
100000;0;1;CountingSort;300001;0;0;2774133
100000;0;1;CountingSort;300001;0;0;2633823
100000;0;1;CountingSort;300001;0;0;524721
100000;0;1;CountingSort;300001;0;0;464450
100000;0;1;CountingSort;300001;0;0;2574153
100000;0;1;CountingSort;300001;0;0;412860
100000;0;1;CountingSort;300001;0;0;410971
100000;0;1;CountingSort;300001;0;0;2633363
100000;0;1;CountingSort;300001;0;0;464810
100000;0;1;CountingSort;300001;0;0;3030384
100000;0;1;CountingSort;300001;0;0;413171
100000;0;1;CountingSort;300001;0;0;441631
100000;0;1;CountingSort;300001;0;0;2458903
