taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100;0;1;InsertionSort;297;99;0;28490
100;0;1;InsertionSort;297;99;0;9810
100;0;1;InsertionSort;297;99;0;10170
100;0;1;InsertionSort;297;99;0;9870
100;0;1;InsertionSort;297;99;0;8230
100;0;1;InsertionSort;297;99;0;7920
100;0;1;InsertionSort;297;99;0;15610
100;0;1;InsertionSort;297;99;0;9540
100;0;1;InsertionSort;297;99;0;10690
100;0;1;InsertionSort;297;99;0;8030
100;0;1;InsertionSort;297;99;0;12710
100;0;1;InsertionSort;297;99;0;7930
100;0;1;InsertionSort;297;99;0;9610
100;0;1;InsertionSort;297;99;0;10070
100;0;1;InsertionSort;297;99;0;7881
100;0;1;InsertionSort;297;99;0;9900
100;0;1;InsertionSort;297;99;0;10920
100;0;1;InsertionSort;297;99;0;10591
100;0;1;InsertionSort;297;99;0;9760
100;0;1;InsertionSort;297;99;0;11120
100;0;1;InsertionSort;297;99;0;11840
100;0;1;InsertionSort;297;99;0;9580
100;0;1;InsertionSort;297;99;0;9690
100;0;1;InsertionSort;297;99;0;9450
100;0;1;InsertionSort;297;99;0;9710
100;0;1;InsertionSort;297;99;0;9500
100;0;1;InsertionSort;297;99;0;9690
100;0;1;InsertionSort;297;99;0;7910
100;0;1;InsertionSort;297;99;0;9290
100;0;1;InsertionSort;297;99;0;9160
100;0;1;InsertionSort;297;99;0;11370
100;0;1;InsertionSort;297;99;0;10960
100;0;1;InsertionSort;297;99;0;9040
100;0;1;InsertionSort;297;99;0;9420
100;0;1;InsertionSort;297;99;0;7910
100;0;1;InsertionSort;297;99;0;10900
100;0;1;InsertionSort;297;99;0;9490
100;0;1;InsertionSort;297;99;0;9190
100;0;1;InsertionSort;297;99;0;9200
100;0;1;InsertionSort;297;99;0;10120
100;0;1;InsertionSort;297;99;0;11010
100;0;1;InsertionSort;297;99;0;14730
100;0;1;InsertionSort;297;99;0;7940
100;0;1;InsertionSort;297;99;0;7610
100;0;1;InsertionSort;297;99;0;9710
100;0;1;InsertionSort;297;99;0;12740
100;0;1;InsertionSort;297;99;0;9030
100;0;1;InsertionSort;297;99;0;10920
100;0;1;InsertionSort;297;99;0;10700
100;0;1;InsertionSort;297;99;0;10910
100;0;1;InsertionSort;297;99;0;10370
100;0;1;InsertionSort;297;99;0;11731
100;0;1;InsertionSort;297;99;0;9480
100;0;1;InsertionSort;297;99;0;9550
100;0;1;InsertionSort;297;99;0;9950
100;0;1;InsertionSort;297;99;0;9880
100;0;1;InsertionSort;297;99;0;10670
100;0;1;InsertionSort;297;99;0;10250
100;0;1;InsertionSort;297;99;0;10470
100;0;1;InsertionSort;297;99;0;9930
100;0;1;InsertionSort;297;99;0;9780
100;0;1;InsertionSort;297;99;0;9820
100;0;1;InsertionSort;297;99;0;11550
100;0;1;InsertionSort;297;99;0;10140
100;0;1;InsertionSort;297;99;0;9380
100;0;1;InsertionSort;297;99;0;9130
100;0;1;InsertionSort;297;99;0;8070
100;0;1;InsertionSort;297;99;0;9820
100;0;1;InsertionSort;297;99;0;10120
100;0;1;InsertionSort;297;99;0;9610
100;0;1;InsertionSort;297;99;0;10070
100;0;1;InsertionSort;297;99;0;9540
100;0;1;InsertionSort;297;99;0;8860
100;0;1;InsertionSort;297;99;0;7490
100;0;1;InsertionSort;297;99;0;10820
100;0;1;InsertionSort;297;99;0;11050
100;0;1;InsertionSort;297;99;0;12710
100;0;1;InsertionSort;297;99;0;13140
100;0;1;InsertionSort;297;99;0;11080
100;0;1;InsertionSort;297;99;0;9580
100;0;1;InsertionSort;297;99;0;12350
100;0;1;InsertionSort;297;99;0;11110
100;0;1;InsertionSort;297;99;0;9850
100;0;1;InsertionSort;297;99;0;7550
100;0;1;InsertionSort;297;99;0;7630
100;0;1;InsertionSort;297;99;0;7450
