taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100000;0;1;MergeSort;3337856;853904;0;16719382
100000;0;1;MergeSort;3337856;853904;0;9496523
100000;0;1;MergeSort;3337856;853904;0;5384667
100000;0;1;MergeSort;3337856;853904;0;6253508
100000;0;1;MergeSort;3337856;853904;0;7365280
100000;0;1;MergeSort;3337856;853904;0;7191710
100000;0;1;MergeSort;3337856;853904;0;6968239
100000;0;1;MergeSort;3337856;853904;0;7689890
100000;0;1;MergeSort;3337856;853904;0;7899951
100000;0;1;MergeSort;3337856;853904;0;3209014
100000;0;1;MergeSort;3337856;853904;0;3700895
100000;0;1;MergeSort;3337856;853904;0;3998645
100000;0;1;MergeSort;3337856;853904;0;3864585
100000;0;1;MergeSort;3337856;853904;0;4094405
100000;0;1;MergeSort;3337856;853904;0;3705155
100000;0;1;MergeSort;3337856;853904;0;3573345
100000;0;1;MergeSort;3337856;853904;0;6107968
100000;0;1;MergeSort;3337856;853904;0;6817819
100000;0;1;MergeSort;3337856;853904;0;8064710
100000;0;1;MergeSort;3337856;853904;0;7969350
100000;0;1;MergeSort;3337856;853904;0;8054441
100000;0;1;MergeSort;3337856;853904;0;7994260
100000;0;1;MergeSort;3337856;853904;0;7114430
100000;0;1;MergeSort;3337856;853904;0;6939568
100000;0;1;MergeSort;3337856;853904;0;7251169
100000;0;1;MergeSort;3337856;853904;0;7097059
100000;0;1;MergeSort;3337856;853904;0;7679350
100000;0;1;MergeSort;3337856;853904;0;7346170
100000;0;1;MergeSort;3337856;853904;0;7727750
100000;0;1;MergeSort;3337856;853904;0;9225742
100000;0;1;MergeSort;3337856;853904;0;2937584
100000;0;1;MergeSort;3337856;853904;0;2977974
100000;0;1;MergeSort;3337856;853904;0;3233324
100000;0;1;MergeSort;3337856;853904;0;2938464
100000;0;1;MergeSort;3337856;853904;0;3604315
100000;0;1;MergeSort;3337856;853904;0;3784265
100000;0;1;MergeSort;3337856;853904;0;3154524
100000;0;1;MergeSort;3337856;853904;0;4968846
100000;0;1;MergeSort;3337856;853904;0;4375536
100000;0;1;MergeSort;3337856;853904;0;3825015
100000;0;1;MergeSort;3337856;853904;0;4731326
100000;0;1;MergeSort;3337856;853904;0;3824195
100000;0;1;MergeSort;3337856;853904;0;3571694
100000;0;1;MergeSort;3337856;853904;0;3287574
