taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100000;0;1;QuickSort;6734976;3007620;1175672;22260498
100000;0;1;QuickSort;6621703;2958520;1154286;7683340
100000;0;1;QuickSort;7184938;3223600;1253957;7459100
100000;0;1;QuickSort;6314253;2905470;1069651;5757927
100000;0;1;QuickSort;6521697;2980221;1113746;7439960
100000;0;1;QuickSort;6336236;2897153;1079674;4615806
100000;0;1;QuickSort;6761320;3083293;1159394;6997329
100000;0;1;QuickSort;6608247;3037092;1123635;4288546
100000;0;1;QuickSort;6823934;3096968;1175738;4419076
100000;0;1;QuickSort;6451181;2982800;1089430;5725957
100000;0;1;QuickSort;6512460;2984034;1109482;4378956
100000;0;1;QuickSort;6589577;2966600;1140954;3930275
100000;0;1;QuickSort;6655950;3011877;1148167;6596019
100000;0;1;QuickSort;6836364;3130554;1168586;4837767
100000;0;1;QuickSort;6769193;3015071;1184740;6744499
100000;0;1;QuickSort;6678298;3035653;1147534;4734566
100000;0;1;QuickSort;6627269;2986940;1146733;5039087
100000;0;1;QuickSort;6950657;3145859;1201654;7898370
100000;0;1;QuickSort;6683234;2985572;1165915;4966886
100000;0;1;QuickSort;6711174;3023844;1162365;7052050
100000;0;1;QuickSort;6351547;2885950;1088504;4240596
100000;0;1;QuickSort;6211395;2872650;1046267;4632927
100000;0;1;QuickSort;7095508;3166069;1243217;7103520
100000;0;1;QuickSort;6222903;2884575;1046116;4896137
100000;0;1;QuickSort;6591634;3004987;1128818;6954139
100000;0;1;QuickSort;6732622;3058714;1158082;4975436
100000;0;1;QuickSort;6698246;2987087;1170306;4900666
100000;0;1;QuickSort;6602298;3012687;1129822;8062091
100000;0;1;QuickSort;6802264;3115138;1162431;4660767
100000;0;1;QuickSort;6953922;3115536;1212749;6455658
100000;0;1;QuickSort;6644992;2993893;1150410;7029029
100000;0;1;QuickSort;6192729;2867727;1041741;4895717
100000;0;1;QuickSort;6633919;2999707;1144748;4866166
100000;0;1;QuickSort;7293184;3264691;1276214;7004149
100000;0;1;QuickSort;6350476;2891125;1086506;4433395
100000;0;1;QuickSort;6492195;2977962;1104826;3920776
100000;0;1;QuickSort;6758118;3071733;1162255;6654509
100000;0;1;QuickSort;6286309;2845795;1080214;4894886
100000;0;1;QuickSort;6659345;3025517;1144593;6749029
100000;0;1;QuickSort;6572553;2943150;1143172;5216256
100000;0;1;QuickSort;6469678;2937550;1110755;4444766
100000;0;1;QuickSort;6312180;2895552;1072175;6833309
100000;0;1;QuickSort;6504157;3018199;1095300;4969666
100000;0;1;QuickSort;6499915;2935624;1121414;6529598
100000;0;1;QuickSort;6333615;2888892;1081494;4902307
100000;0;1;QuickSort;6291748;2869810;1074091;4838486
100000;0;1;QuickSort;6173469;2854032;1039804;6540589
100000;0;1;QuickSort;6979047;3163011;1205344;5140017
100000;0;1;QuickSort;6622072;2983216;1146231;6339448
100000;0;1;QuickSort;6885960;3130146;1185230;4922406
100000;0;1;QuickSort;6598397;2982263;1138726;7393649
