taille;desordre;typeDesordre;algo;accesses;comparisons;swaps;timeNano
10000;0;1;CountingSort;30001;0;0;1312693
10000;0;1;QuickSort;518623;232720;88646;3239637
10000;0;1;InsertionSort;29997;9999;0;1398263
10000;0;1;BubbleSort;19998;9999;0;1055203
10000;0;1;MergeSort;267232;69008;0;2693467
10000;0;1;CountingSort;30001;0;0;1037442
10000;0;1;QuickSort;502563;222135;86802;7646398
10000;0;1;InsertionSort;29997;9999;0;851812
10000;0;1;BubbleSort;19998;9999;0;820272
10000;0;1;MergeSort;267232;69008;0;994793
10000;0;1;CountingSort;30001;0;0;398221
10000;0;1;QuickSort;511009;234193;85615;4028349
10000;0;1;InsertionSort;29997;9999;0;1061192
10000;0;1;BubbleSort;19998;9999;0;639881
10000;0;1;MergeSort;267232;69008;0;975062
10000;0;1;CountingSort;30001;0;0;502931
10000;0;1;QuickSort;508335;229194;86407;575471
10000;0;1;InsertionSort;29997;9999;0;843422
10000;0;1;BubbleSort;19998;9999;0;591212
10000;0;1;MergeSort;267232;69008;0;1153642
10000;0;1;CountingSort;30001;0;0;360751
10000;0;1;QuickSort;490948;228211;80926;747812
10000;0;1;InsertionSort;29997;9999;0;1166983
10000;0;1;BubbleSort;19998;9999;0;781552
10000;0;1;MergeSort;267232;69008;0;967102
10000;0;1;CountingSort;30001;0;0;289650
10000;0;1;QuickSort;564469;244525;99995;587961
10000;0;1;InsertionSort;29997;9999;0;713151
10000;0;1;BubbleSort;19998;9999;0;658402
10000;0;1;MergeSort;267232;69008;0;1122803
10000;0;1;CountingSort;30001;0;0;184871
10000;0;1;QuickSort;514192;232507;87230;577312
10000;0;1;InsertionSort;29997;9999;0;903612
10000;0;1;BubbleSort;19998;9999;0;690442
10000;0;1;MergeSort;267232;69008;0;971782
10000;0;1;CountingSort;30001;0;0;214050
10000;0;1;QuickSort;510331;225523;88305;456031
10000;0;1;InsertionSort;29997;9999;0;1133262
10000;0;1;BubbleSort;19998;9999;0;887292
10000;0;1;MergeSort;267232;69008;0;1002762
10000;0;1;CountingSort;30001;0;0;313621
10000;0;1;QuickSort;507309;227283;86694;631331
10000;0;1;InsertionSort;29997;9999;0;562281
10000;0;1;BubbleSort;19998;9999;0;376561
10000;0;1;MergeSort;267232;69008;0;793712
10000;0;1;CountingSort;30001;0;0;161190
10000;0;1;QuickSort;519371;227123;90759;489871
10000;0;1;InsertionSort;29997;9999;0;348451
10000;0;1;BubbleSort;19998;9999;0;264040
10000;0;1;MergeSort;267232;69008;0;799972
10000;0;1;CountingSort;30001;0;0;160040
10000;0;1;QuickSort;497435;224072;84475;440991
10000;0;1;InsertionSort;29997;9999;0;206990
10000;0;1;BubbleSort;19998;9999;0;138040
10000;0;1;MergeSort;267232;69008;0;817972
10000;0;1;CountingSort;30001;0;0;348291
10000;0;1;QuickSort;537327;240519;92204;626152
10000;0;1;InsertionSort;29997;9999;0;261261
10000;0;1;BubbleSort;19998;9999;0;297401
10000;0;1;MergeSort;267232;69008;0;1089893
10000;0;1;CountingSort;30001;0;0;140610
10000;0;1;QuickSort;513623;223793;89936;2380575
10000;0;1;InsertionSort;29997;9999;0;2040895
10000;0;1;BubbleSort;19998;9999;0;2000045
10000;0;1;MergeSort;267232;69008;0;2485666
10000;0;1;CountingSort;30001;0;0;51970
10000;0;1;QuickSort;544139;242789;93824;545851
10000;0;1;InsertionSort;29997;9999;0;372701
10000;0;1;BubbleSort;19998;9999;0;247321
10000;0;1;MergeSort;267232;69008;0;613852
10000;0;1;CountingSort;30001;0;0;33830
10000;0;1;QuickSort;474872;216296;79486;338871
10000;0;1;InsertionSort;29997;9999;0;228880
10000;0;1;BubbleSort;19998;9999;0;337731
10000;0;1;MergeSort;267232;69008;0;497521
10000;0;1;CountingSort;30001;0;0;46500
10000;0;1;QuickSort;492126;223506;82847;457631
10000;0;1;InsertionSort;29997;9999;0;155010
10000;0;1;BubbleSort;19998;9999;0;154030
10000;0;1;MergeSort;267232;69008;0;489891
10000;0;1;CountingSort;30001;0;0;46280
